seq1	Root	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	unclassified_Bacillus
seq2	Root	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	unclassified_Bacillus
seq3	Root	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	unclassified_Chitinophagaceae	NA
seq4	Root	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	unclassified_Microscillaceae	NA
seq5	Root	Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Inquilinaceae	Inquilinus	unclassified_Inquilinus
seq6	Root	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	unclassified_Chitinophaga
seq8	Root	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	unclassified_Conexibacter
seq10	Root	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	unclassified_Rhizobiaceae	NA
seq11	Root	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	unclassified_Cupriavidus
seq12	Root	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	unclassified_Alcaligenaceae	NA
seq13	Root	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	unclassified_Pseudomonas
seq14	Root	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	unclassified_Bacillus
seq15	Root	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	unclassified_Chitinophaga
seq16	Root	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	unclassified_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
seq17	Root	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	unclassified_Devosia
seq19	Root	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	unclassified_Stenotrophomonas
